place,title,time,pay,date
서울 종로구,풀무원녹즙 종로오피스,00:00~24:00,"시급13,000",14분전
경기 성남시,분당웰빙녹즙,07:30~11:00,"시급15,000",17분전
부산 강서구,풀무원녹즙 부산강서가맹점,07:00~10:00,"월급850,000",19분전
경기 성남시,분당웰빙녹즙,07:30~11:00,"시급15,000",19분전
서울 광진구,풀무원녹즙 청담오피스가맹점,07:30~11:30,"월급1,000,000",21분전
경남 창원시,풍운유통,04:30~09:00,"시급10,000",31분전
대구 전체,풀무원녹즙,07:30~12:00,"월급1,000,000",51분전
서울 강남구,녹즙논현오피스가맹점,06:30~11:00,"월급1,000,000",51분전
대구 달성군,풀무원 녹즙 건강한하루 녹즙,08:00~12:30,"월급1,400,000",1시간전
경기 고양시,풀무원녹즙 일산중부가맹점,07:30~11:00,"월급900,000",1시간전
경기 평택시,풀무원녹즙 평택오피스,08:00~11:00,"시급10,000",1시간전
경기 군포시,풀무원녹즙 군포지사,07:30~11:00,"월급1,000,000",1시간전
인천 남동구,"풀무원녹즙 인천중구(동구,남구)가맹점",07:00~10:30,"월급1,000,000",2시간전
인천 동구,"풀무원녹즙 인천중구(동구,남구)가맹점",07:00~10:30,"월급1,000,000",2시간전
인천 중구,"풀무원녹즙 인천중구(동구,남구)가맹점",07:00~10:30,"월급1,000,000",2시간전
인천 미추홀,"풀무원녹즙 인천중구(동구,남구)가맹점",07:00~10:30,"월급1,000,000",2시간전
서울 강남구,녹즙논현오피스가맹점,06:30~11:00,"월급1,000,000",2시간전
인천 서구,풀무원건강생활 서인천가맹점,08:00~11:00,"월급700,000",2시간전
대구 서구,풀무원녹즙,07:30~12:00,"월급1,000,000",2시간전
대구 달성군,풀무원 녹즙 건강한하루 녹즙,08:00~12:30,"월급1,400,000",2시간전
울산 남구,새싹녹즙,07:30~10:30,"월급700,000",2시간전
울산 남구,새싹녹즙,07:30~10:30,"월급700,000",2시간전
울산 남구,새싹녹즙,07:30~10:30,"월급700,000",2시간전
울산 남구,새싹녹즙,07:30~10:30,"월급700,000",2시간전
광주 광산구,풀무원녹즙 광주상무지사,07:00~12:00,"시급10,000",2시간전
대전 대덕구,그린유통,06:30~10:00,"월급800,000",2시간전
서울 강남구,풀무원녹즙 청담오피스가맹점,07:30~11:30,"월급1,000,000",3시간전
서울 중랑구,풀무원녹즙 청담오피스가맹점,07:30~11:30,"월급1,000,000",3시간전
대구 달성군,풀무원 녹즙 건강한하루 녹즙,08:00~12:30,"월급1,400,000",3시간전
광주 서구,풀무원녹즙 광주상무지사,07:00~12:00,"시급10,000",3시간전
대전 대덕구,그린유통,06:30~09:30,"월급800,000",3시간전
대구 전체,풀무원녹즙,07:30~12:00,"월급1,000,000",3시간전
광주 북구,풀무원 녹즙 북구 남부 오피스,07:30~11:30,"월급1,000,000",3시간전
충남 천안시,풀무원녹즙천안서북구가맹점,07:30~11:00,"월급800,000",4시간전
충남 천안시,풀무원녹즙천안서북구가맹점,07:30~11:00,"월급800,000",4시간전
충남 천안시,풀무원녹즙천안서북구가맹점,07:30~11:00,"월급800,000",4시간전
충남 천안시,풀무원녹즙천안서북구가맹점,07:30~11:00,"월급800,000",4시간전
대전 유성구,풀무원녹즙 대전테크노오피스가맹점,07:30~11:30,"월급1,000,000",4시간전
대전 유성구,풀무원녹즙 대전테크노오피스가맹점,07:30~11:30,"월급1,000,000",4시간전
대전 유성구,풀무원녹즙 대전테크노오피스가맹점,07:30~11:30,"월급1,000,000",4시간전
